TIPLOC,NAME,EASTING,NORTHING
CRGIDRS,ABERDEEN CRAIGINCHES (DRS),394141,805648
CRGIDSL,CRAIGINCHES DOWN SDG LOOP,394141,805648
CRGIFHH,ABERDEEN CRAIGINCHES FHH,395025,804204
CRGISTH,CRAIGINCHES SOUTH,395390,804350
CRGNFHH,CRAIGENTINNY GNER FHH,329387,674086
CRGNTNY,CRAIGENTINNY T.&R.S.M.D,329731,673874
CRGNTPS,CRAIGENTINNY PORTOBELLO SD,329084,674225
CRGNTYJ,CRAIGENTINNY JN,329084,674225
CRHL,CREWS HILL,530941,200155
CRHRTLP,CLARENCE ROAD JN.,450906,533496
CRICCTH,CRICCIETH,249662,338000
CRIKGF,CRICK GF,457556,271879
CRISTSJ,CHRISTIAN STREET JN.,534537,180953
CRKL2GL,CRICKLEWOOD NO2 G L,523568,186426
CRKL539,CRICKLEWOOD SIGNAL 539,286200,931659
CRKLDPT,CRICKLEWOOD DEPOT,523616,186422
CRKLFHH,CRICKLEWOOD F/L HEAVY HAUL,523619,186585
CRKLGBR,CRICKLWOOD REC SDGS GBRF,523384,186518
CRKLLAF,CRICKLEWOOD LAFARGE,286200,931659
CRKLNES,CRICKLEWOOD NTH END GBF,523015,187172
CRKLNLF,CRICKLEWOOD N.L.F.C.,523015,187172
CRKLRL,CRICKLEWOOD RECEPT LINGER,523618,186585
CRKLRTS,CRICKLEWOOD R.T.S.,523618,186585
CRKLSCS,CRICKLEWOOD SCS (GBRF),286200,931659
CRKLUGL,CRICKLEWOOD U.G.L.,523994,185951
CRKLWCJ,CRICKLEWOOD CURVE JN,524302,185420
CRKLWD,CRICKLEWOOD,523980,185933
CRKLWDJ,CRICKLEWOOD DEPOT JN,522715,187371
CRKLWRL,CRICKLEWOOD REC LINE,523568,186426
CRKLWRS,CRICKLEWOOD RECESS SDG,523568,186426
CRKLWSJ,CRICKLEWOOD SOUTH JN,524149,185662
CRKRN,CREWKERNE,345299,108527
CRLK,CARLUKE,283998,650174
CRLN,CHARLTON,541046,178366
CRLNJN,CHARLTON JUNCTION,541046,178366
CRLNXOV,CHARLTON C & P XOVER,541046,178366
CRLORTJ,CRAIGLOCKHART JN,323241,671346
CRLTOTL,CARLTON ON TRENT LOOP,479254,363712
CRMBRND,CROMBIE R.N.A.D.,305578,684228
CRMLNGT,CRAMLINGTON,425711,577117
CRMN579,CARMONDEAN JN SIG EN579,303062,668412
CRMN581,CARMONDEAN JN SIG EN581,303062,668412
CRMNDNJ,CARMONDEAN JN,303062,668412
CRMRSEJ,CARMUIRS EAST JN,286102,680954
CRMRSWJ,CARMUIRS WEST JN,285496,680610
CRNBRKJ,CORNBROOK JN,382220,397040
CRNF,CARNFORTH,349676,470677
CUPAR,CUPAR,337682,714311
CUPARDS,CUPAR DOWN SIDING,337788,714447
CURRIEH,CURRIEHILL,317632,668264
CURYMSH,CURRY MARSH,571318,181598
CVEBAY,COVE BAY,395342,801051
CWBRDSB,COWBRIDGE ROAD,291187,179316
CWDN941,COWDENBEATH SIG EC941,316487,691579
CWDNBTH,COWDENBEATH,316575,691838
CWLRBOX,COWLAIRS SIGNALBOX,259948,668373
CWLRC79,COWLAIRS EAST JN SIG C79,260075,667833
CWLRDPL,COWLAIRS D.P.L.,260076,667697
CWLRSEJ,COWLAIRS EAST JN,259966,668741
CWLRSGL,COWLAIRS WEST G.L.,260075,667833
CWLRSNJ,COWLAIRS NORTH JN,259723,668447
CWLRSPL,COWLAIRS WEST P.L.,260075,667833
CWLRSSJ,COWLAIRS SOUTH JN,260033,667577
CWLRSWJ,COWLAIRS WEST JN,260075,667833
CWLYBDG,COWLEY BRIDGE JN,290888,95263
CWMBOC,CWMBARGOED OPENCAST COLLY.,308524,206147
CWMBRAN,CWMBRAN,329812,195887
CWMBRGD,CWMBARGOED,309475,201193
CWMGWRH,CWMGWRACH,286498,204499
CWMROPN,CWMMAWR OPENCAST,252865,212423
CXTN,CUXTON,571460,166756
CYDNJN,CLAYDON L.N.E. JN.,468670,225728
CYNGHRD,CYNGHORDY,280207,240678
DAGNHME,DAGENHAM EAST,550246,185009
DAGNMJN,DAGENHAM JUNCTION,550246,185009
DAILLY,DAILLY,226403,602565
DAINTNT,DAINTON TUNNEL,285121,66299
DAISYH,DAISY HILL,365958,404866
DALAMBR,DALLAM JUNCTION,360104,389044
DALAMFD,DALLAM FREIGHT DEPOT,360200,389244
DALCROS,DALCROSS,276173,850445
DALGETY,DALGETY BAY,314923,684110
DALM893,DALMUIR SIGNAL YY893,248159,671590
DALM898,DALMUIR SIGNAL YY898,248159,671590
DALMRDS,DALMUIR DOWN SIDING,248134,671606
DALMRRS,DALMUIR RIVERSIDE,248698,670765
DALMUIR,DALMUIR,248417,671423
DALRY,DALRY,229752,649192
DALRYRH,DALRY ROCHE,230016,650237
DALS101,DALSTON JUNCTION SIG 101,533282,185030
DALSCUM,CUMMERSDALE VIADUCT,339494,552614
DALSKLD,DALSTON KINGSLAND,533497,185009
DALSOGF,DALSTON OIL TERMINAL(GF),336350,550559
DALSTON,DALSTON,336601,550594
CRNFCES,CARNFORTH BTM END CE SDG,349134,471485
CRNFDSG,CARNFORTH DOWN SDGS,349462,470435
CRNFFMJ,CARNFORTH F&M JN,349380,471380
CRNFNJN,CARNFORTH NORTH JN,349582,470565
CRNFPD,CARNFORTH PLANT SDG (WCA),349566,471246
CRNFRHS,CARNFORTH H.S.,349661,470962
CRNFRTC,CARNFORTH T.C.,349367,470343
CRNFSTM,CARNFORTH STEAMTOWN,349603,470980
CRNFUGL,CARNFORTH D&U.G.L.,349462,470435
CRNFUPL,CARNFORTH UP PASSENGR LOOP,349516,470470
CRNFVQ,CARNFORTH VIRTUAL QUARRY,349115,471494
CRNG,CHARING,594963,149141
CRNGX,CHARING CROSSOVER (CTRL),593209,148256
CRNLAME,CRIANLARICH DOWN SDG AMEC,238438,725072
CRNLRCE,CRIANLARICH C.E.,238477,724948
CRNLRCH,CRIANLARICH,238458,725089
CRNLRHL,CRIANLARICH LOWER,237851,725748
CRNLUDS,CRIANLARICH DOWN SIDINGS,238438,725072
CROESND,CROES NEWYDD,332807,350318
CROESNF,CROES NEWYDD NORTH FORK,332809,350317
CROFFHH,CROFT QUARRY FLHH,286200,931659
CROFGBR,CROFT QUARRY GBRF,451595,296094
CROFTQY,CROFT QUARRY,451591,296098
CROFTS,CROFT,451783,295915
CROGAR,CROSBY GARRETT,372573,509796
CROGSMA,SMARDALE VIADUCT,373350,508167
CROKSNL,CROOKSTON LOOP,251978,663528
CROKSTN,CROOKSTON,251978,663528
CROMFD,CROMFORD,430304,357359
CRONBDE,CARRONBRIDGE,287291,602313
CROSSHL,CROSSHILL,258777,662280
CROT,CROSTON,348692,419276
CROUCHH,CROUCH HILL,530597,187516
CROWLE,CROWLE,478382,411008
CROWMH,MEDGE HALL,474726,412265
CROXTON,CROXTON AHB,590248,286740
CROY,CROY,272952,675485
CRPHLY,CAERPHILLY,315710,186550
CRSHLTB,CARSHALTON BEECHES,527582,163607
CRSHLTN,CARSHALTON,527728,164870
CRSMYLF,CROSSMYLOOF,256978,662405
CRSNGTN,CRESSINGTON,339396,385028
CRST405,CARSTAIRS SIG MC405,292808,645417
CRST410,CARSTAIRS SIGNAL MC410,292808,645417
CRST422,CARSTAIRS SIG MC422,292808,645417
CRST423,CARSTAIRS SIG MC423,292808,645417
CRST436,CARSTAIRS SIG MC436,292808,645417
CRSTCE,CARSTAIRS C.E.,294858,645553
CRSTDPL,CARSTAIRS D.P.L.,295281,645382
CRSTDS,CARSTAIRS DS,295281,645382
CRSTFHH,CARSTAIRS DOWN SDGS (FHH),292808,645417
CRSTMEE,CARSTAIRS M.& E.E.,295563,645384
CRSTRS,CARSTAIRS,295185,645462
CRSTRSE,CARSTAIRS EAST JN,296157,645564
CRSTRSS,CARSTAIRS SOUTH JN,295705,645021
CRSTUPL,CARSTAIRS U.P.L.,295306,645415
CRTHLPJ,COURTHILL LOOP NORTH JN,538054,175503
CRTN,CARLTON,461953,341227
CRTSDYK,CARTSDYKE,229453,675500
CRUGWAL,CRUGWALLINS SIDINGS,197817,52604
CRWHRST,CROWHURST,576038,112896
CRWLL,CRESWELL (DERBYS),452368,374363
CRWNSTJ,CROW NEST JN,362766,405357
CRWTHRN,CROWTHORNE,482294,163709
CRYMRSH,CURRY MARSH SIDINGS,571173,181589
CRYNANT,CRYNANT,279485,204838
CRYS167,CRYSTAL PALACE VC167,534043,170597
CRYS170,CRYSTAL PALACE VC170,534043,170597
CRYSBRJ,BROMLEY JN,534218,169331
CRYSTLP,CRYSTAL PALACE,534131,170521
CSEAH,IMPERIAL WHARF,526261,176740
CSFD,CHANDLERS FORD,443274,120629
CSGT,CROSS GATES,436269,434439
CSMLX,CRISMILL CROSSOVER,582311,155151
CSTL,CASTLETON,388320,410661
CSTLDGL,CASTLETON D.G.L.,388208,410357
CSTLDSE,CASTLETON DOWN SIDINGS,388149,410094
CSTLGBR,CASTLETON R.W.D. (GBRF),388227,410434
CSTLHGF,CASTLETON HOPWOOD GF,386624,410157
CSTLNRD,CASTLETON R.W.D.,388256,410402
CSTLTEJ,CASTLETON EAST JN,388208,410357
CSTLTNJ,CASTLETON NORTH JN,387709,409978
CSTLTSJ,CASTLETON SOUTH JN,388116,409740
CSTLUSE,CASTLETON UP SDGS (EWS),388256,410402
CSTR,CHURCH STRETTON,345591,293585
CTLYBSC,CANTLEY B.S.C.,638313,303588
CTMS664,CITY THAMESLINK SIG VC664,531697,181028
CTMSLNK,CITY THAMESLINK,531688,181293
CTNG,COLLINGTON,573084,107291
CTNM,CASTLETON MOOR,468370,508485
CTRDJN,CARLTON ROAD JN,528195,185374
CTSARTJ,COURT SART JN,273897,195770
CTTGHM,COTTINGHAM,505116,432840
CUDNGTN,CUDDINGTON,360093,371600
CUFFLEY,CUFFLEY,530696,202813
CULDNMR,CULLODEN,276287,845440
CULHAM,CULHAM,452924,195348
CULRAIN,CULRAIN,257678,894743
HAYESTC,HAYES T.C.,509940,179421
HAYESTS,HAYES & H'TON TARMAC SDGS,510428,179429
HAYLE,HAYLE,155986,37344
HAYM527,HAYMARKET SIGNAL EH527,322985,672830
HAYM911,HAYMARKET SIG EH911,323514,672988
HAYMDRS,HAYMARKET DOWN REFUGE SDG,322612,672626
HAYMNGL,HAYMARKET NORTH GOODS LOOP,322207,672484
HAYMRCJ,HAYMARKET CENTRAL JN,323012,672781
HAYMRCS,HAYMARKET C.S.,323215,672903
HAYMREJ,HAYMARKET EAST JN,323744,673060
HAYMRKT,HAYMARKET,323962,673136
HAYMRWJ,HAYMARKET WEST JN,322207,672484
HAYMTMD,HAYMARKET DEPOT,322985,672830
HAYS,HAYES (KENT),539899,166100
HAYSCHS,HAYES (KENT) C.H.S,539899,166100
HAZL,HAZEL GROVE,391913,386793
HAZLGHJ,HAZEL GROVE H.L.JN,392788,386410
HBDNBDG,HEBDEN BRIDGE,399461,426830
HBDNURS,HEBDEN BRIDGE U R S,399678,426701
HBRN,HOLLINGBOURNE,583423,155079
HBROOMS,HIGH BROOMS,559385,141354
HBRTBDG,HUBBERTS BRIDGE,526980,343671
HBRY,HARTLEBURY,385038,270709
HCHP,HOLMES CHAPEL,376653,366981
HCKNGTN,HECKINGTON,514629,343573
HCKPBAL,BALNE,459323,419590
HCKPFHH,HECK (FLHH),459689,421304
HCKPLSM,HECK PLASMOR P S,459689,421296
HCRT,HAMPTON COURT,515395,168256
HCRTJN,HAMPTON COURT JN.,516251,166183
HDNELP,HALL DENE LOOP,441775,549964
HDNS,HEDNESFORD,399963,312471
HDNSMOO,MOORS GORSE L.C.,402295,315078
HDON,HENDON,522130,188264
HDRS770,HUDDERSFIELD SIG HU770,414570,417462
HDRS771,HUDDERSFIELD SIG HU771,414588,417512
HDRSFLD,HUDDERSFIELD,414350,416981
HDRSSDG,HUDDERSFIELD SIDINGS,414324,416996
HEADCRN,HEADCORN,583795,143991
HEADUGL,HEADCORN UP GOODS LOOP,583795,143991
HEALING,HEALING,521897,411033
HEATHHL,HEATH HIGH LEVEL,318110,180427
HEATHJ,HEATH JN,318181,179985
HEATHLL,HEATH LOW LEVEL,318057,180321
HEATSDG,HEATH TOWN SIDINGS,392859,299156
HEDGEND,HEDGE END,449604,115069
HEDNGLY,HEADINGLEY,426840,435815
HEDSTNL,HEADSTONE LANE,513920,190556
LYNMFHH,LYNEMOUTH POWER STN (FLHH),430157,590316
LYNMTHA,LYNEMOUTH DBS INT,429254,589770
LYNMTHC,LYNEMOUTH RJB MINING,429904,590559
LYNMTHL,LYNEMOUTH DBS,429964,590483
LYTHAM,LYTHAM,336516,427420
LYTNSHR,LEYTONSTONE HIGH ROAD,539286,186895
MACHENQ,MACHEN QUARRY,322055,188618
MACHENR,MACHEN RUN-ROUND,322035,188623
MACLSFD,MACCLESFIELD,391965,373589
MADEJN,MADELEY JN (SALOP),371946,308484
MADELEY,MADELEY (STAFFS),377642,343380
MADELYC,MADELEY CHORD LINE(STAFFS),377927,342525
MADEWH,WHITMORE,380376,340068
MAESTER,MAESTEG (EWENNY ROAD),285953,190884
MAESTGF,MAESTEG GROUND FRAME,285953,190884
MAGHULL,MAGHULL,338363,401511
MAGOR,MAGOR,342655,186874
MAIFDLP,MAYFIELD LOOP,385375,397565
MAINCE,MAINDEE DEPOT ISU (CE),331650,188647
MAINDEJ,MAINDEE EAST JN,331984,188376
MAINDNJ,MAINDEE NORTH JN,331814,188978
MAINDWJ,MAINDEE WEST JN,331485,188584
MALDENM,MALDEN MANOR,521097,166511
MALTBTH,BARTON HILL,470863,464297
MALTKKA,KIRKHAM ABBEY SB,473325,465728
MALTKNA,KNAPTON,487272,476652
MALTON,MALTON,478696,471340
MANEA,MANEA,547938,291102
MANIJN,MANN ISLAND JUNCTION,333915,390041
MANNGDS,MANNINGTREE DOWN SIDING,609409,232240
MANNGTR,MANNINGTREE,609409,232240
MANNTEJ,MANNINGTREE EAST JN,609969,232076
MANNTNJ,MANNINGTREE NORTH JN,610039,232487
MANOMET,MANORS (METRO),425394,564437
MANORS,MANORS,425355,564307
MANR350,MANOR PARK SIG 350/5083,541902,185688
MANRPK,MANOR PARK,541902,185688
MANRPKJ,MANOR PARK JUNCTION,541902,185688
MANTLFF,LUFFENHAM,494523,302631
MANTMJ7,MANTON JN SIG MJ7,488281,304139
MANTONJ,MANTON JN,488281,304139
MANTSDG,MANTON JN ACE SDG,488281,304139
MARCHDS,MARCH DOWN R.S.,542142,297723
MARCHUS,MARCH UP R.S.,542097,297781
MARCUCE,MARCH UP YARD ISU (CE),542070,297811
MARDEN,MARDEN,574366,144751
MARGATE,MARGATE,634658,170521
MARGCHS,MARGATE C.H.S.,634658,170521
MARLOW,MARLOW,485599,186518
IPSWRCP,IPSWICH RECP.,614658,244388
IPSWRFL,IPSWICH RECEPTION RFL,614658,244388
IPSWSN1,IPSWICH SHUNT NECK 1,615306,243909
IPSWSS,IPSWICH S.S.,615306,243909
IPSWTFP,IPSWICH TOP YARD F.P.,615743,243769
IPSWUDG,IPSWICH DOWN AND UP GOODS,615430,243858
IPSWYGB,IPSWICH RECEPTION GBRF,614661,244379
IRLAM,IRLAM,371340,393134
IRNBDGE,IRONBRIDGE POWER STATION,365895,303695
IRNBFHH,IRONBRIDGE POWER STN (FHH),365895,303695
IRNBFLF,IRONBRIDGE P STN FASTLINE,365895,303695
IRNBGBR,IRONBRIDGE POWER STATION G,365895,303695
IRNBGSB,IRONBRIDGE PS STOPBOARD,365895,303695
IRONACT,IRON ACTON,367603,183272
IRVN,IRVINE,231623,638531
IRVN801,IRVINE SIG 801,231623,638531
IRVNB,IRVINE BOGSIDE,230684,640698
IRVNBCC,IRVINE B.C.C.,231654,638258
IRVNCE,IRVINE C.E.,231636,638225
IRVNCPP,IRVINE CALEDONIAN PAPER,231655,638254
ISLEWTH,ISLEWORTH,515594,176403
ISLIP,ISLIP,452633,214442
IVER,IVER,503715,179905
IVRGRCE,INVERGORDON C.E.,270477,868663
IVRGRD,INVERGORDON,270477,868663
IVRGRDN,INVERGORDON DISTILLERY,271401,869333
IVRKCJN,INVERKEITHING CENTRAL JN,313132,683570
IVRKEJN,INVERKEITHING EAST JN,313370,684006
IVRKNJN,INVERKEITHING NORTH JN,313110,683924
IVRKSJN,INVERKEITHING SOUTH JN,313156,683192
IVRKTCE,INVERKEITHING C.E.,313116,683600
IVRKTGL,INVERKEITHING G.L.,313116,683600
IVRKTHG,INVERKEITHING,313149,683308
IVRKTNC,INVERKEITHING NORTH CURVE,313110,683924
IVRKUPL,INVERKEITHING U.P.L.,313444,684031
IVRKYD,INVERKEITHING YARD,313116,683600
IVRN387,INVERNESS SIGNAL I387,268140,845816
IVRN410,INVERNESS SIGNAL I410,267116,845691
IVRNALC,ALLANFERN L.C.,271463,847564
IVRNBC,INVERNESS BLUE CIRCLE SDGS,267160,845803
IVRNBLC,BUNCHREW L.C.,271463,847564
IVRNCE,INVERNESS C.E.,267422,845711
IVRNCSD,INVERNESS C.S.D.,267030,845745
IVRNESS,INVERNESS,271463,847564
IVRNFD,INVERNESS F.D.,267230,845853
IVRNFHH,INVERNESS LAFARGE,267156,845804
IVRNFSD,INVERNESS FREIGHT SDGS DRS,267156,845804
FAVRBRD,FAVERSHAM BK ROAD,601633,160868
FAVRCHS,FAVERSHAM C.H.S.,601584,160901
FAVRDNR,FAVERSHAM DOWN RECEPTION,601870,160820
FAVRDS1,FAVERSHAM DOWN SDG NO 1,601745,160859
FAVRSHM,FAVERSHAM,601584,160901
FAVRUPS,FAVERSHAM UP SIDINGS,601932,160772
FAWKHMJ,FAWKHAM JUNCTION,559009,169218
FAWKNRC,FAWKHAM JN NR/CTRL BNDRY,559023,169214
FAYGATE,FAYGATE,521721,134393
FAZKRLY,FAZAKERLEY,337933,397351
FDLRFHH,FIDDLERS FERRY P STN FLHH,354672,385826
FDLRGBF,FIDDLERS FERRY P STN GBRF,354672,385826
FDLRSFY,FIDDLERS FERRY POWER STN,354671,385826
FDLRSSB,FIDDLERS FERRY S.B.,355339,386050
FDRS233,FORDERS SIDINGS SIGNAL 233,501762,242858
FDRS250,FORDERS SIDING SIG MV250,501762,242858
FDRS28,FORDERS SIDINGS SIGNAL 28,501762,242858
FDRSFHH,FORDERS SDGS F/L HEAVY HL,501833,243184
FDRSGBR,FORDERS SIDINGS GBRF,501833,243184
FDRSSBL,FORDERS SIGNAL BOX/LOOP,501762,242858
FDRSSDG,FORDERS SDGS,501832,243185
FDRTYIB,FODDERTY I.B.,252288,859114
FEARN,FEARN,281517,878241
FEARNSD,FEARN SIDINGS ISU (CE),281530,878185
FELL,FELLGATE,433056,562661
FELNFRN,FELIN FRAN,269142,198649
FELT453,FELTHAM SIGNAL F453,510855,173387
FELTGS,FELTHAM GRID SIDING,510855,173387
FELTHMJ,FELTHAM JN,512841,173815
FENCHRS,LONDON FENCHURCH STREET,533504,180910
FENITON,FENITON,309501,99336
FENN715,FENNY COMPTON SIG. OL7150,286200,931659
FENNCRO,CROPREDY,446536,246265
FENNEX,FENNY COMPTON EXCHNGE SDGS,436870,252090
FENNYCM,FENNY COMPTON,439518,258698
FENYCE,FENNY COMPTON CE SDGS,442887,252702
FENYMOD,FENNY COMPTON M.O.D.,436862,252033
FERNHIL,FERNHILL,303597,199575
FERRIBY,FERRIBY,498554,425544
FERY624,FERRYBRIDGE SIG 624,448048,424854
FERYBDG,FERRYBRIDGE NORTH JN,448205,424186
FERYBPS,FERRYBRIDGE POWER STATION,447938,425281
FERYFHH,FERRYBRIDGE C PWR STN FLHH,447941,425277
FERYGBF,FERRYBRIDGE PWR STN GBRF,447945,425272
FERYHS,FERRYBRIDGE H.S.,448070,425101
FERYLD,FERRYBRIDGE NP LOCO DEPOT,448070,425098
KEBGNJN,KING EDWARD BRIDGE N. JN,424729,563163
KEBGSJN,KING EDWARD BRIDGE S. JN,424698,562876
KEIGHLY,KEIGHLEY,406636,441271
KEIGHSJ,KEIGHLEY STATION JN,406636,441271
KEIGWVR,KEIGHLEY & WVLR,406590,441277
KEITH,KEITH,342970,851656
KEITHBP,KEITH BRANCH PLATFORM,343073,851620
KEITHLP,KEITH LOOP,343321,851807
KEITHSP,KEITH STRATHISLA PLATFORM,342987,851614
KEITHY,KEITH YARD,343073,851620
KELNFHH,KELLINGLEY COLLIERY (FLHH),453076,423353
KELNGBR,KELLINGLEY COLLIERY GBRf,453074,423355
KELNGLY,KELLINGLEY COLLIERY,453074,423355
KELVEDN,KELVEDON,586262,219255
KEMBLE,KEMBLE,398503,197554
KEMSING,KEMSING,556765,157746
KENDAL,KENDAL,351969,493212
KENETRS,KENNETT REDLAND SIDING,571860,266972
KENGCRL,KENSAL GREEN EAST CRL,523463,182248
KENGCSP,KENSAL GREEN C.SERV.PLT.,523466,182247
KENISHD,KENNISHEAD,254422,660240
KENLWTH,KENILWORTH,429579,272696
KENNETT,KENNETT,569939,267274
KENNFHH,KENNETT (FHH),571870,266970
KENNTGF,KENNET REDLAND GROUND FRME,571884,266964
KENOLYM,KENSINGTON (OLYMPIA),524339,179184
KENR,KENSAL RISE,523555,183236
KENSLG,KENSAL GREEN,523272,182793
KENSLGJ,KENSAL GREEN JN,522544,183030
KENSLGS,KENSAL GREEN SIDINGS,523463,182248
KENSLGT,KENSAL GREEN TURNBACK,522834,182731
KENTHOS,KENT HOUSE,536028,169961
KETR,KETTERING,486378,278007
KETRGED,GEDDINGTON,487552,285206
KETRGLN,GLENDON,485122,282546
KETRGNJ,KETTERING NORTH JUNCTION,485762,281126
KETRSJ,KETTERING STH JN,487480,276439
KETTON,KETTON S.B.,498414,304042
KETTWSD,KETTON WARD SDG.,499487,305024
KEWBDGE,KEW BRIDGE,518941,178139
KEWEJ,KEW EAST JN,519199,178538
KEWGRDN,KEW GARDENS,519196,176731
KEYH127,KEYHAM SIG P127,245148,56710
KEYHAM,KEYHAM,245148,56710
KEYMERJ,KEYMER JN,531922,119611
KEYNSHM,KEYNSHAM,365597,168909
KGHN,KINGHORN,326963,686847
KGMR481,CARLISLE KINGMOOR SIG 481,338203,557620
MARPLE,MARPLE,396288,389324
MARPLWJ,MARPLE WHARF JN,395689,390017
MARTON,MARTON,451956,516850
MARY10,MARYLEBONE 10 SIGNAL,527188,182690
MARYLBN,LONDON MARYLEBONE,527527,182096
MARYSDS,MARYLEBONE (SDGS 1-5),527428,182343
MARYUPL,MARYLEBONE UP PASSENGER LO,527551,182106
MARYUPS,MARYLEBONE UP PLATFORM SDG,527551,182106
MARYUTS,MARYLEBONE UP TUNNEL SDGS,527185,182701
MARYWRD,MARYLEBONE WASHER ROAD,527208,182647
MASGLAS,MAESGLAS TIP ISU (CE),330670,186944
MASH,MOUNTAIN ASH,304854,199049
MATLCKB,MATLOCK BATH,429759,358450
MATLOCK,MATLOCK,429639,360182
MATLPR,MATLOCK PEAK RAIL,429634,360223
MAUCHLN,MAUCHLINE,249704,626509
MAUCLUS,MAUCHLINE UP SIDINGS,249701,626481
MAXWLPK,MAXWELL PARK,256766,662859
MAYBOLE,MAYBOLE,229866,610038
MAZEH,MAZE HILL,539196,177873
MBRK,MILLBROOK (HANTS),439918,112588
MBRK758,MILLBROOK SIG. E758,439068,112631
MBRK850,MILLBROOK SIG. E850,439918,112588
MBRK958,MILLBROOK SIG E958,439499,112640
MBRKDE,MILLBROOK DOCK ENTRANCE,439499,112640
MBRKDX,MILLBROOK DOCK EXIT,439497,112637
MBRKFLT,MILLBROOK HANTS..F.L.T.,439251,112688
MBROBPS,MASBORO BOOTHS P S,441752,392487
MBROEWS,ROTHERHAM MASBOROUGH EWS,442051,391299
MBROFHH,ROTHERHAM MASBOROUGH FLHH,442052,391297
MBRONJN,MASBOROUGH JN,442064,393340
MBROSSJ,MASBRO S.S. JN,442210,390875
MBROSTY,MASBOROUGH F.D.,442006,391259
MCHL125,MICHELDEVER SIGNAL EH125,451793,142851
MCHL229,MICHELDEVER SIGNAL E229,451793,142851
MCHLDVR,MICHELDEVER,451793,142851
MCHLELF,MICHELDEVER OIL SIDINGS,451839,143131
MCHWFLT,MARCHWOOD F.L.T.,438508,110000
MCHWMOD,MARCHWOOD M.O.D.,438504,110000
MCHWOOD,MARCHWOOD,438506,110000
MCHWSMC,MARCHWOOD SMC RP,438504,110000
MCHYGLA,GLANDYFI,269265,296800
MCHYNCS,MACHYNLLETH CARR. SDGS,274556,301344
MCHYNLT,MACHYNLLETH,274498,301353
MCHYYNY,YNYSLAS,261302,292594
MCKLFLD,MICKLEFIELD,444504,432707
MDCLDRJ,MIDCALDER JN,308998,666504
MDCLDRL,MIDCALDER GOODS LOOP,308348,666174
IVRNHBD,INVERNESS HARBOUR BRCH DRS,267116,845691
IVRNMRT,INVERNESS MOTORAIL TERM.,271463,847564
IVRNRSL,INVERNESS RUSSELL J.G.,267071,845858
IVRNTC,INVERNESS T.C.,267223,845853
IVRNTMD,INVERNESS T.M.D.,266990,845671
JAME504,JAMES STREET SIGNAL 1504,334151,390241
JAME537,JAMES STREET SIGNAL 537,334151,390241
JAMESDG,JAMES STREET SIDINGS,334151,390241
JAMESST,JAMES STREET,334151,390241
JARRAFL,TYNE DOCKS AFL,434950,565058
JARRAUT,TYNE DOCK EWS (AUTOMOTIVE),434950,565058
JARRFHH,TYNE DOCK (FLHH),434821,565143
JARRGBF,TYNE COAL TERMINAL GBRF,434823,565140
JARRGIN,TYNE DOCK INTERMODAL GBRF,286200,931659
JARRIFT,TYNE DOCK EWS (INTERMODAL),434950,565056
JARROWS,JARROW SHELL,433402,564948
JARRPTA,TYNE DOCK P T A,434822,565142
JARRTCT,TYNE COAL TERMINAL P T A,434823,565141
JERS470,JERSEY MARINE STH JN PT470,272441,195140
JERSFHH,JERSEY MARINE (FLHH),272812,196225
JERSMJN,JERSEY MARINE JN NORTH,272063,196235
JERSMJS,JERSEY MARINE JN SOUTH,272441,195140
JERSMSS,JERSEY MARINE STEEL SUPP,272902,196486
JERSYMY,JERSEY MARINE YARD,272441,195140
JHNSTND,JOHNSTON,193267,210669
JNCRMOS,MOSS,458886,415523
JNCROFT,JOAN CROFT JN,458224,410462
JOHNSTN,JOHNSTONE,243325,662948
JOPPSTR,JOPPA STRAIGHT,330971,673255
JORDANH,JORDANHILL,254660,667948
JRDJ,JUNCTION ROAD JN,529166,186054
KAIMES,KAIMES QUARRY SIDING,313171,667455
KAIMGF,KAIMES G.F.,313171,667455
KAYPRKJ,KAY PARK JN,243920,637924
KCLD,KIRKCALDY,327519,691625
KCLD838,KIRKCALDY SIG EK838,327615,691896
KCLD842,KIRKCALDY SIG EK842,327615,691896
KCLD843,KIRKCALDY SIG EK843,327615,691896
KCLDYDD,KIRKCALDY SIDINGS,327576,691816
KCLDYYD,KIRKCALDY YARD,327609,691852
KDRMCHS,KIDDERMINSTER C.H.S.,383816,276108
KDRMDGL,KIDDERMINSTER DN GDS LOOP,383577,275386
KDRMNST,KIDDERMINSTER,383871,276302
KDRMSVR,KIDDERMINSTER S.V.R.,383709,275862
KEADBYC,KEADBY CANAL,482604,411470
KEARSLY,KEARSLEY,375230,405374
KEBGEJN,KING EDWARD BRIDGE E. JN,424943,563126
FERYRD,FERRYBRIDGE NP REPAIR DP,448069,425095
FFAIRFC,FFAIRFACH,262916,221269
FGDHBR,FISHGUARD HARBOUR,195169,238928
FGDHGWK,FISHGUARD & GOODWICK,195263,239197
FGDHSDG,FISHGUARD HARBOUR SIDING,195263,239197
FIFOTFL,FIFOOTS PNT PWR STN FLINER,333497,184999
FIFOTPS,USKMOUTH POWER STATION,333495,185016
FILEGRS,GRISTHORPE,507656,481689
FILEY,FILEY,511379,480670
FILTNEW,FILTON ABBEY WOOD,360959,178403
FILTNWJ,FILTON WEST JN,360635,179894
FILTONJ,FILTON JN,361132,179334
