TIPLOC,NAME,EASTING,NORTHING
HLTW57,HALTWHISTLE SIG 57,370065,563766
HMEADSJ,HIGH MEADS JUNCTION,537932,184769
HMWTPHC,HAMWORTHY GOODS POOLE H.C.,401039,90073
HNB5077,HERNE BAY SIGNAL EK5077,616537,167333
HONDEGM,HONDEGHEM,260885,667397
HONYHUT,HONEYBOURNE STAFF HUT,412313,244569
HONYNJN,HONEYBOURNE NORTH JN,410536,245043
HONYSID,HONEYBOURNE SIDINGS,411125,244940
HORD137,HORDEN SIGNAL NS7137,445375,540077
HORD148,HORDEN SIGNAL NS7148,445601,539872
HORS201,HORSHAM 2001 POINTS,517761,131751
HRDQGBF,HARDENDALE QUARRY GBRf,356812,513208
HRGY422,HARRINGAY SIG K422,531330,188399
HRNS426,HORNSEY SIG K426,531375,188251
HRNS448,WOOD GREEN SIGNAL K448,530580,189915
HULLFER,Hull Yard (FLHH),505457,426399
HULLSS,HULL STATION SIDINGS,509016,428758
HYWDJN,HAYWOOD JN,457622,411306
IBROXJN,IBROX JN,255449,664251
ILFE336,ILFORD SIGNAL L336,541489,185572
ILKES,ILKESTON,447455,342564
ILKESJN,ILKESTON JUNCTION,447612,342053
IMMDGBR,IMMINGHAM MINERAL QUAY GBR,518479,416739
IMNGBIO,IMMINGHAM BIOMASS LP (DBS),518461,417094
IPSW295,IPSWICH SIGNAL CO295,616136,243409
IPSW297,IPSWICH SIGNAL CO297,616136,243409
ACWL105,ACTON WELLS SIGNAL AW105,520286,179411
ALDR371,ALDERSHOT SIGNAL WK1371,486950,150559
ALDR378,ALDERSHOT SIGNAL WK1378,486350,150077
ALERTN4,ALLERTON SIGNAL AN4,340573,385335
ALNMUES,ALNMOUTH UP ENG SIDINGS,423222,610922
ANGRGBR,ANGERSTEIN WHARF GBRF,540318,178725
APPLADV,APPLEFORD (ADVENZA),452463,193008
ARKS814,ARKSEY D814,457525,406456
ARKS815,ARKSEY SIGNAL D815,457641,407032
ASHF119,ASHFORD SIGNAL AD2119,600053,143208
ASHF661,ASHFORD SIGNAL 661,600183,142588
ASHFAJN,ASHFORD A JUNCTION,600169,142883
ASHV408,ASH VALE SIGNAL WK408,489427,153637
AVIGCMT,AVIGNON C M T,260885,667397
AVIGVIL,AVIGNON VILLE,260885,667397
AVON4,AVONMOUTH SIGNAL SA4,351408,178432
AVONADV,AVONMOUTH (ADVENZA),351849,179881
AVONHAN,AVONMOUTH HANSONS SIDING,351921,180220
AYLS302,AYLESBURY SIG ME302,480304,214172
AYLS792,AYLESBURY SIG ME792,481583,213544
AYLSBCH,AYLESBURY BRANCH SDG,481845,213420
AYLSPWY,AYLESBURY VALE PARKWAY,478696,215286
AYNHUGL,AYNHO UP GOODS LOOP,449644,232983
AYRR859,AYR SIG 859,234002,620803
BARKNGJ,BARKING STATION JUNCTION,543761,184750
BEDF603,BEDFORD SIGNAL 603,504332,248986
BEDFDJS,BEDFORD JOWETT SIDINGS,504717,249151
BELFTS,BELFORD TAMPER SIDINGS,412430,633824
BERMPRK,BERMUDA PARK,435898,289622
BGEDSLJ,BARGOED SINGLE LINE JN,314987,200346
BHAM190,B'HAM MOOR ST SIG WM190,407740,286604
BHAM459,B'HAM SNOW HILL SIGNAL 459,406558,287691
BLOX103,BLOXWICH SIGNAL 103,398536,304940
BLTC76,BLETCHLEY SIG 76 (DN FAST),486793,234058
BNBR12,BANBURY SIGNAL 12,446306,240285
BNBR21,BANBURY SIGNAL 21,446394,240186
BNDO063,BRANDON SIGNAL EN8063,578142,287194
BNTB27,BARNETBY SIGNAL BE27,506101,410284
BORGSTM,BOURG ST MAURICE,260885,667397
BRAGJN,BRAGBURY JUNCTION,529092,219836
BRBDGBR,BARNBY DUN ROC. GLASS GBRF,460766,407333
BRGH277,BRIGHTON SIGNAL T1277,530949,105195
BRHLDGF,BARROW HILL DN GDS (FLHH),440919,375170
BRHLSGF,BARROW HILL STAVELEY FLHH,440692,375130
BRNTGBF,BRENTFORD TOWN DAYS GBRF,516597,177816
BROKGTS,BROOKGATE SDGS,571365,159617
BRSS533,BRISTOL TM SIG 533,359719,171951
BRSTHLS,BRISTOL HIGH LEVEL SIDING,359922,172599
BRWHBEJ,BOLDON EAST JN,435499,564132
BRWHBNJ,BOLDON NORTH JUNCTION,435504,564189
BRWNASG,ANGLESEA SIDING,406235,306772
BSNGSDR,BASINGSTOKE DOWN YARD,463088,152477
BTSDN1R,BRIGHTSIDE NO1 RECEPTION,437399,389325
BTSDN2R,BRIGHTSIDE NO2 RECEPTION,437399,389326
BURHGBJ,HORNINGLOW BRIDGE JN,424618,323767
BURTTML,BURTON ROAD AND RAIL TML,424594,323734
BWLGJN,BOWLING JN,416683,430925
CALAFCR,CALAIS FRETHUN COLAS RAIL,260885,667397
CALAFGV,CALAIS FRETHUN GARE VGRS,260885,667397
CALAFT,CALAIS FRETHUN (TUNNEL),260885,667397
CALVADV,CALVERT (ADVENZA),469241,224154
CANT641,CANTON SIGNAL C641,317587,175896
CARL335,CARLISLE CE 335 SIGNAL,339809,555839
CATE361,CATERHAM SIGNAL T1361,533990,155869
CBE4415,CANTERBURY E SIGNAL EK4415,614179,157394
CBRK,CRANBROOK,299757,95419
CDDRCES,CADDER C.E. SDGS,263712,671254
CHARTSD,CHARTHAM SIDINGS,614836,158783
CHFDDS,CHESTERFIELD DOWN SIDINGS,438798,371154
CHUNCTR,EUROTUNNEL BOUNDARY (CTRL),619251,136771
CHVNLDS,CHEVINGTON LOOP DOWN SDG,422222,596931
CHVNNC,CHEVINGTON NRTH CROSSOVERS,422020,598582
CLCH013,COLCHESTER SIGNAL CO4013,597228,226423
CLCHLIP,COLCHESTER L.I.P.,598874,226440
CLPH141,CLAPHAM JN SIGNAL 141,527507,175762
CLPHMMS,CLAPHAM JN MIDDLE SDG,526953,175496
CLPHMYS,CLAPHAM YARD SIDINGS,526962,175490
CMDN052,CAMDEN SIGNAL NL1052,528877,184219
CNBKSTB,COLNBROOK STOP BOARD,503941,177301
COLFORD,COLEFORD (NR/DR BOUNDARY),277493,100148
COLSTWN,COULSDON TOWN,530193,159805
CONONBR,CONON BRIDGE,254104,854943
COVAREN,COVENTRY ARENA,434447,283362
COVN517,COVENTRY SIG LC6517,433530,277849
COVN532,COVENTRY SIG CB1532,432356,278543
COVNGHJ,GIBBET HILL JUNCTION,433462,277671
CRAGMLD,CRAG MILL DOWN LOOP,411879,634552
CRAGMLU,CRAG MILL UP LOOP,412066,634305
CRAWGBR,CRAWLEY NEW YARD (GBRF),528770,138919
CREWBHG,CREWE BAS HALL S.S.M. GBRF,371900,352409
CREWESN,CREWE SHUNTING NECK,371265,353838
CRFD542,CRAYFORD SIGNAL NK1542,551798,174518
IPSW333,IPSWICH SIGNAL CO333,614782,244232
IPSW820,IPSWICH SIGNAL CO820,615129,243976
IPSW822,IPSWICH SIGNAL CO.822,614889,244138
